en,ta
regulation,ஒழுங்குவிதி
diglot register,இருமொழிப் பதிவேடு
residential,வதிவிட
dipsomania,மதுப்பித்து
hypothetical structure,அனுமானக் கட்டமைப்பு
wrongfully dispossessed,தவறாக
book report,புத்தக அறிக்கை
strict contruction,தளர்வற்ற நிர்மாணிப்பு கட்டமைப்பு
minimum wages,குறைந்தபட்சக் கூலிகள்
atheist,நாத்திகர்
adulterate,கலப்படஞ் செய்
reversal of entries,பதிவுகளின் நேர்மாற்றம்
chain of  inference,அனுமானத் தொடர்
radiation system,கதிர்வீச்சு முறைமை
digital market,இலக்கமுறை சந்தை
book value,ஏட்டுப் பெறுமானம்
social noises,சமூக குழப்பங்கள்
preivous sanction,முன்னங்கீகாரம்
threaten,அச்சுறுத்து
undetermined,தீர்மானிக்கப்படா
prosocial behavior,சமூகசார்பு நடத்தை
puerilism,சிறுபிள்ளைத்தனம்
obsolete legal forms,வழக்கிழந்த சட்டம்சார் படிவங்கள்
execution,நிறைவேற்றம்
levis,எளிய
autism,தற்பெருமைச் செயல் / தன்னாழ்வு நோய்
subsidiary agreement,துணை உடன்படிக்கை
periodically,காலவொழுங்கில்
preserve,பாதுகாத்து பேணு
exempted from service,சேவை விலக்களிப்பு
test construction stage,சோதனை அமைப்புக் கட்டம்
aide,துணையாளர்
foolish (a),மதிகேடான
lost bill,தொலைந்த பற்றுச்சீட்டு
pollute,மாசுபடுத்து
colour contrast,வர்ண எதிர்வேறு
behaviour observation,நடத்தை அவதானிப்பு
equality is equity,சமத்துவம்
parliamentary,பாராளுமன்றத்துக்குரிய
